taxon_key	taxon_name	common_name	cla_code	ord_code	fam_code	gen_code	spe_code	effective_distance	habitat_diversity_index	estuaries	coral	front	sea_grass	sea_mount	others	slope	shelf	abyssal	inshore	offshore	max_depth	min_depth	lat_north	lat_south	found_in_fao_area_id	fao_limits	sl_max	intertidal	temperature	water_column_position	depth_comments	general_comments
601134	Haemulon chrysargyreum	Smallmouth grunt	6	60	327	1239	1134	49.99999985	0.8	0.5	1	0	0.5	0	0.5	0	0.5	0	0.5	0.5	25	0		-33	"{31,41}"	2	19.445833	f		reef-associated		"FB or SLB Comments: Inhabits exposed rocky areas and coral reefs. Often near elkhorn and staghorn corals (Ref. 9710). Commonly found in schools. Juveniles are encountered in <i>Thalassia</i> beds (Ref. 9626). Adults are observed in coral reefs during the day but enters open waters at night to feed on mainly on plankton (Ref. 9626), but also on small crustaceans and mollusks. Marketed fresh (Ref. 3798)."
602547	Platyrhinoidis triseriata	Thornback guitarfish	4	14	17	4123	2547	69.99999979	0.6	0.5	0	0	0.5	0	0.5	0	0.5	0	0.75	0.5	137	0	38	22	"{77,87}"	2	91	t		demersal		"FB or SLB Comments: Inhabits fine sand to mud bottom, often near kelp beds and sometimes abundant on mud flats of coastal bays. Often buries itself in bottom sediments. Ranges from the intertidal zone to 50 m depth (Ref. 12951). Solitary or in small groups (Ref. 12951). Feeds on small sand-dwelling crustaceans, worms and mollusks. Ovoviviparous (Ref. 50449), with 1 to 15 pups in a litter (Ref. 48844). Possesses ampullary electroreceptors with a region of maximum sensitivity of 5-15 Hz (Ref. 10011)."
604061	Cottus aleuticus	Coastrange sculpin	6	59	277	2056	4061	30.39999991	0.4	0.5	0	0	0	0	0.5	0	0	0	0.5	0	50	0	68	35	{2}	1	14.563033	f		demersal		FB or SLB Comments: Inhabits gravel and rubble riffles of medium to large rivers and rocky shores of lakes (Ref. 5723). Occasionally enters estuaries (Ref. 5723). Feeds mostly at night and mostly on aquatic insects and benthic invertebrates (Ref. 27547). Generally solitary but large aggregations have been noted (Ref. 27547). Makes regular seasonal migrations associated with spawning (Ref. 27547). Considered a forage fish for some salmonids (Ref. 1998).
600036	Agonus cataphractus	Hooknose	6	59	283	1749	36	30.39999991	0.4	0.5	0	0	0	0	0.5	0	0.5	0	0.5	0.5	270	0	77	43	{27}	1	17.499993	f		demersal		"FB or SLB Comments: Inhabits inshore waters, deeper waters in winter in Skaggerak, preferring sandy bottoms, rarely with stones. Maximum depth reported at 270 m (Ref. 28197). Temp. range: 4.0-8.0 °C. Feeds on bottom crustaceans and polychaetes. Matures after about 1 year; a few spawning in the second year (Ref. 722). The eggs are laid in seaweed (Ref. 9900). Spawns in February - April, female laying 2,500-3,000 yellow eggs with a diameter of 2 mm. Period of development is very long and 6-8 mm long pelagic larvae hatch after 10-11 months (Ref. 35388)."
604163	Bothragonus swanii	Rockhead	6	59	283	3284	4163	30.39999991	0.4	0.5	0	0	0	0	0.5	0	0.5	0	0.75	0.5	18	0	60	34	"{67,77}"	2	7.810237554	f		demersal		FB or SLB Comments: Inhabits intertidal areas and to 18 m depth (Ref. 2850). Frequently caught in tide pools (Ref. 28197). Its food consists mainly of tiny crustaceans (shrimp and crab-like creatures) which are picked from the bottom or very close to it (Ref. 4930). Demersal spawner in nearshore habitats (Ref. 56049).
601123	Anisotremus surinamensis	Black margate	6	60	327	1849	1123	69.99999979	0.6	0.5	0.75	0	0	0	0.5	0	0.5	0	0.5	0.5	20	0	30	-34	"{31,41}"	2	61.93010047	f		reef-associated		"FB or SLB Comments: Inhabits larger patch reefs and quickly sloping rocky bottoms. Often near the shelter of caves, ledges, or wrecks (Ref. 9710). Feeds at night on crustaceans, mollusks, smaller fish, and the long-spined urchin, <i>Diadema</i>. Marketed fresh."
603832	Acanthogobius flavimanus	Yellowfin goby	6	60	405	9199	3832	30.39999991	0.4	0.5	0	0	0	0	0.5	0	0.5	0	0.5	0.5			52	23	"{2,4,5,18,61,71,77,81}"	8	24.59595	f		demersal		"FB or SLB Comments: Inhabits muddy and sandy bottoms along the shore of bays and estuaries, sometimes ascends rivers. Oviparous, spawn in winter to early spring (Ref. 205). Eggs are deposited in Y-shaped nests (Ref. 205). Used in Chinese medicine (Ref. 12166)."
659440	Medialuna ancietae		6	60	339	4106	59440	0	0.2	0	0	0	0	0	0.5	0	0.5	0	1	0	2	2			"{87,87}"	2	0	f		demersal		FB or SLB Comments: Minimum depth from Ref. 58018.
604245	Pleuronectes putnami	American smooth flounder	6	61	440	2193	4245	30.39999991	0.4	0.5	0	0	0	0	0.5	0	0.5	0	0.75	0.5	27	1	60	41	{21}	1	23.85	f		demersal		"FB or SLB Comments: Inhabits inshore waters, shallow estuaries, river mouths and sheltered bays (Ref. 8520). Benthic species. Feeds on worms, crustaceans and molluscs (Ref. 58426)."
607523	Cynoglossus arel	Largescale tonguesole	6	61	442	1404	7523	61.11111101	0.6	0.5	0.5	0	0	0	0.5	0	0.5	0	0.5	0.5	125	9	30	-5	"{51,57,61,71,77}"	5	38.44856	f		demersal		FB or SLB Comments: Inhabits muddy and sandy bottoms of the continental shelf down to 125 m. Enters estuaries and tidal rivers (Ref. 1479). Feeds predominantly on bottom-living invertebrates. Marketed mostly fresh and frozen; also dried-salted (Ref. 9895).
604235	Xystreurys liolepis	Fantail flounder	6	61	514	772	4235	30.39999991	0.4	0.75	0	0	0	0	0.75	0	0.5	0	0	0.5	79	5	37	22	{77}	1	52.617497	f		demersal		"FB or SLB Comments: Inhabits muddy and sandy bottoms, from 4.6-79 m depth. Usually buried in bottoms. Feeds almost exclusively on crustaceans. Marketed fresh (Ref. 9330)."
601093	Mullus auratus	Red goatfish	6	60	332	2801	1093	30.39999991	0.4	0.5	0	0	0	0	0.5	0	0.5	0	0.5	0	91	9	46	6	"{21,31,41}"	3	20.525			demersal		"FB or SLB Comments: Inhabits neritic waters, especially over sand or mud bottoms (Ref. 5217). Flesh considered excellent quality; marketed fresh (Ref. 3792)."
601204	Epinephelus drummondhayi	Speckled hind	6	60	289	7755	1204	30.39999991	0.4	0.5	0	0	0	0	0.5	0	0.5	0	0	0.5	183	25	36	24	{31}	1	90.88655705			demersal		FB or SLB Comments: Inhabits offshore rocky bottoms; most common between 60 and 120 m.
604144	Triglops forficatus	Scissortail sculpin	6	59	277	455	4144	30.39999991	0.4	0.5	0	0	0	0	0.5	0	0.5	0	0	0.5	470	20			"{61,67}"	2	21.1506	f		demersal		"FB or SLB Comments: Inhabits primarily outer-shelf regions with a preference for bottoms of sand, pebbles, gravel, and shell."
603673	Thalassoma bifasciatum	Bluehead	6	60	362	2886	3673	49.99999985	0.6	0	0.75	0	0.5	0	0.25	0	0.5	0	0.5	0.5	40	0	32		{31}	1	22.525	f		reef-associated		"FB or SLB Comments: Inhabits reef areas, inshore bays and seagrass beds. Feeds mainly on zooplankton and small benthic animals, but may also feed on ectoparasites of other fishes (Ref. 9626). Spawn at midday throughout the year (Ref. 26938). A protogynous hermaphrodite (Ref. 55367). Generally of no interest to fisheries because of its small average size (Ref. 5217)."
